Data,
"The Vision of Fr.C.Rodrigues Institute of  Technology (FCRIT)  is to become a progressive center for modern technical education,inspire creativity in students for self-sustainability and foster holistic development with Indian values and ethics .",
"The Mission of Fr.C.Rodrigues Institute of Technology (FCRIT) is to deliver industry oriented quality education, provide a holistic environment for personal development and build strong relationships with reputed institutes ,alumni and industry .",
Fr.C.Rodrigues Institute of Technology (FCRIT) was established in 1994 by Agnel Ashram Fathers.,
"Fr.C.Rodrigues Institute of Technology (FCRIT) is a Christian minority,self-financed institute affiliated with the University of Mumbai.",
"Fr.C.Rodrigues Institute of Technology is approved by AICTE, New Delhi. ",
"Fr.C.Rodrigues Institute of Technology (FCRIT) is located in Vashi, Navi Mumbaispread across 6.8 acres with lush facilities ",
"Fr.C.Rodrigues Institute of Technology (FCRIT) offers Undergratuate (B.Tech) courses in Computer, Mechanical ,Electronics and Telecommunication ,IT .",
"Fr.C.Rodrigues Institute of Technology (FCRIT) offers Postgraduate (M.Tech) Courses in Machine Design, Power Electronics and Drives.",
"Fr.C.Rodrigues Institute of Technology (FCRIT) offers Doctoral (Ph.D.) Courses  Mechanical, Electrical, and Electronics & Telecommunication .",
Fr.C.Rodrigues Institute of Technology (FCRIT) advocates ?Vasudhaiva Kutumbakam? (World is one family).,
"Fr.C.Rodrigues Institute of Technology (FCRIT) have Faculty recognized for research contributions and have secured grants from esteemed bodies like AICTE, Royal Academy of Engineering (UK), and BRNS.",
"Fr.C.Rodrigues Institute of Technology (FCRIT) have been awarded ?A? grade by Maharashtra Government , Best College Award (Urban category) by Mumbai University (2022) and ranked among the top 250 engineering colleges in NIRF.",
Fr.C.Rodrigues Institute of Technology (FCRIT) is NAAC and NBA accredited.,
Computer Engineering department in Fr.C.Rodrigues Institute of Technology (FCRIT) was established in 1994 with a current intake of 120 students .,
Mechanical Engineering department in Fr.C.Rodrigues Institute of Technology (FCRIT) was established in 1994 with a current intake of 120 students .,
Electrical Engineering department in Fr.C.Rodrigues Institute of Technology (FCRIT) was established in 1994 with a current intake of 60 students .,
Electronics and Telecommunication Engineering department in Fr.C.Rodrigues Institute of Technology (FCRIT) was established in 1994 with a current intake of 60 students .,
Information Technology Engineering department in Fr.C.Rodrigues Institute of Technology (FCRIT) was established in 2001 with a current intake of 60 students .,
The eligibility for Honours in Fr.C.Rodrigues Institute of Technology (FCRIT) is CGPI ? 7.5 by the 4th semester.,
The B.tech Program in Fr.C.Rodrigues Institute of Technology (FCRIT) offers Multidisciplinary core degree with options for Honours/Minor.,
" Fr.C.Rodrigues Institute of Technology (FCRIT) has a Library that Houses over 24,000 books, 2,108 e-books, and 2,062 journals and is equipped with digital and modern resources .",
Fr.C.Rodrigues Institute of Technology (FCRIT) have facility mentors who guide groups of 22-24 students and professional counselor available for special cases.,
Fr.C.Rodrigues Institute of Technology (FCRIT) have Hostels with Accommodation for 163 boys and separate facilities for girls.,
Fr.C.Rodrigues Institute of Technology (FCRIT) has Medical Centre which includes basic medical facilities and plans to serve the needy.,
" Fr.C.Rodrigues Institute of Technology (FCRIT) has a Meditation Centre Air-conditioned, equipped with a sound system for spiritual activities.",
Fr.C.Rodrigues Institute of Technology (FCRIT) has a Canteen that Offers a variety of cuisines.,
" Fr.C.Rodrigues Institute of Technology (FCRIT) has Comprehensive amenities for sports like football, basketball, swimming, etc.",
" Fr.C.Rodrigues Institute of Technology (FCRIT) curriculum is a Flexible, learner-centric curriculum with multidisciplinary options based on Outcome-Based Education (OBE) approach which emphazises on hands-on labs, project-based learning from the 2nd year, and mandatory internships . ",
The Credit System for Theory is 1 credit = 1 contact hour/week.,
The  Credit System for Laboratory is 1 credit = 2 contact hours/week.,
The Credit System for Projects is 1 credit = 30 hours.,
"The institute has a first-year intake capacity of 420 students Of these, 80% of the seats are allocated through the Centralized Admission Process (CAP), with 51% reserved for Christian minority students and 29% for the open category. Additionally, admissions are available under various government schemes such as the Prime Minister's Scholarship Scheme (PMSS), the Tuition Fee Waiver Scheme (TFWS), and other similar initiatives.",
